victim_age,offender_age,incident_hour,latitude,longitude,month_num,relationship_name,victim_sex,offender_sex,victim_ethnicity,offender_ethnicity,victim_race,offender_race,location_name,offense_name,offense_category_name,crime_against,ct_flag,hc_flag
75,65,13,-75.3,39.19,11,Victim Was Other Family Member,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Counterfeiting/Forgery,Arson,Person,True,True
61,84,11,-73.99,40.13,8,Victim Was Sibling,M,F,Not Hispanic or Latino,Hispanic or Latino,White,Asian,Highway/Road/Alley/Street/Sidewalk,Statutory Rape,Motor Vehicle Theft,Property,True,True
72,17,7,-75.05,40.7,4,Victim Was Neighbor,F,F,Hispanic or Latino,Hispanic or Latino,White,White,Highway/Road/Alley/Street/Sidewalk,Extortion/Blackmail,Burglary/Breaking & Entering,Person,False,True
13,34,20,-74.79,40.82,10,Victim Was Stranger,M,M,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Stolen Property Offenses,Robbery,Property,False,True
3,43,5,-74.75,39.01,3,Victim was Ex-Spouse,M,F,Not Hispanic or Latino,Hispanic or Latino,White,White,Residence/Home,Identity Theft,Burglary/Breaking & Entering,Person,True,True
74,23,13,-74.0,40.41,5,Victim Was Stranger,F,M,Hispanic or Latino,Hispanic or Latino,White,White,Residence/Home,Simple Assault,Extortion/Blackmail,Property,True,False
12,39,19,-75.25,40.47,10,Victim Was Friend,M,F,Not Hispanic or Latino,Hispanic or Latino,White,White,Convenience Store,Extortion/Blackmail,Assault Offenses,Person,True,True
48,6,13,-74.01,39.8,4,Victim Was Spouse,F,F,Hispanic or Latino,Not Hispanic or Latino,American Indian or Alaska Native,White,Highway/Road/Alley/Street/Sidewalk,Motor Vehicle Theft,Fraud Offenses,Property,True,False
56,92,19,-74.11,39.67,4,Victim Was Spouse,F,F,Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Shoplifting,Larceny/Theft Offenses,Person,True,True
8,27,12,-74.73,41.21,10,Relationship Unknown,F,M,Not Hispanic or Latino,Not Hispanic or Latino,White,Asian,Cyberspace,Counterfeiting/Forgery,Kidnapping/Abduction,Property,False,True
39,37,21,-75.1,39.43,10,Victim Was Neighbor,F,M,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Residence/Home,Sodomy,Bribery,Property,True,False
2,64,3,-74.38,39.94,1,Victim was Otherwise Known,M,F,Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Residence/Home,Murder and Nonnegligent Manslaughter,Robbery,Property,False,True
88,84,15,-74.81,39.11,10,Victim Was Stranger,F,F,Hispanic or Latino,Hispanic or Latino,White,Black or African American,Residence/Home,All Other Larceny,Human Trafficking,Person,False,True
79,67,18,-74.16,40.92,2,Victim Was Boyfriend/Girlfriend,F,M,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Highway/Road/Alley/Street/Sidewalk,Rape,Sex Offenses,Property,True,True
22,2,19,-74.61,39.86,7,Victim Was Other Family Member,F,F,Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Highway/Road/Alley/Street/Sidewalk,Shoplifting,Fraud Offenses,Property,False,True
4,88,16,-74.55,40.68,2,Victim Was Friend,M,M,Not Hispanic or Latino,Hispanic or Latino,Black or African American,Black or African American,Residence/Home,Sexual Assault With An Object,Kidnapping/Abduction,Person,True,True
13,67,14,-74.67,39.17,9,Victim Was Other Family Member,F,F,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Residence/Home,Motor Vehicle Theft,Assault Offenses,Person,True,True
8,57,4,-74.61,39.97,8,Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),M,F,Hispanic or Latino,Not Hispanic or Latino,White,White,Convenience Store,Burglary/Breaking & Entering,Bribery,Property,False,True
1,59,12,-75.1,41.05,4,Victim Was Child,M,M,Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Residence/Home,Shoplifting,Bribery,Person,True,True
55,70,5,-74.34,40.91,2,Victim Was Stranger,F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Wire Fraud,Fraud Offenses,Person,True,False
66,5,15,-73.92,39.46,8,Victim Was Stranger,F,M,Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Shoplifting,Burglary/Breaking & Entering,Person,True,True
66,16,11,-75.35,39.01,4,Victim Was Acquaintance,F,F,Not Hispanic or Latino,Hispanic or Latino,White,White,Residence/Home,Credit Card/Automated Teller Machine Fraud,Sex Offenses,Person,True,True
87,47,9,-74.78,39.99,6,Victim Was Friend,M,M,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Residence/Home,Statutory Rape,Stolen Property Offenses,Property,True,True
12,77,2,-74.04,40.58,12,Victim Was Other Family Member,M,F,Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Shoplifting,Bribery,Person,True,True
3,69,6,-74.66,39.52,3,Victim Was Parent,M,F,Not Hispanic or Latino,Hispanic or Latino,White,Black or African American,Bar/Nightclub,Purse-snatching,Sex Offenses,Person,True,True
96,99,16,-75.34,41.27,2,Victim Was Sibling,F,M,Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Theft From Building,Assault Offenses,Person,True,True
44,34,14,-74.87,39.02,8,Victim was Ex-Spouse,M,F,Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Residence/Home,Identity Theft,Fraud Offenses,Person,True,True
4,72,4,-75.17,41.06,6,Victim Was Other Family Member,F,F,Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Wire Fraud,Sex Offenses,Person,True,True
11,2,15,-74.05,40.43,8,Victim Was Boyfriend/Girlfriend,M,M,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Convenience Store,Theft of Motor Vehicle Parts or Accessories,Counterfeiting/Forgery,Property,False,True
66,97,21,-74.3,39.39,1,Relationship Unknown,M,F,Not Hispanic or Latino,Hispanic or Latino,White,Black or African American,Residence/Home,False Pretenses/Swindle/Confidence Game,Assault Offenses,Property,True,True
47,68,21,-74.48,40.15,9,Victim Was Stranger,M,F,Hispanic or Latino,Hispanic or Latino,American Indian or Alaska Native,Black or African American,Highway/Road/Alley/Street/Sidewalk,Statutory Rape,Bribery,Property,False,True
25,44,17,-74.77,40.58,1,Victim Was Spouse,M,F,Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Cyberspace,False Pretenses/Swindle/Confidence Game,Embezzlement,Person,True,True
78,40,5,-74.72,40.71,1,Victim Was Other Family Member,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Cyberspace,Counterfeiting/Forgery,Kidnapping/Abduction,Person,True,True
75,68,0,-75.2,40.18,11,Victim Was Neighbor,F,F,Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Statutory Rape,Stolen Property Offenses,Property,True,True
41,72,8,-74.35,40.95,4,Victim was Ex-Spouse,F,M,Not Hispanic or Latino,Hispanic or Latino,White,White,Residence/Home,Simple Assault,Sex Offenses,Person,True,True
58,75,1,-74.07,40.39,11,Victim Was Neighbor,F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Intimidation,Extortion/Blackmail,Person,True,True
71,21,22,-75.48,41.13,3,Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),F,M,Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Intimidation,Kidnapping/Abduction,Person,True,True
31,83,0,-74.85,40.2,1,Victim Was Acquaintance,F,F,Not Hispanic or Latino,Hispanic or Latino,White,Black or African American,Residence/Home,Sodomy,Fraud Offenses,Person,False,True
36,29,19,-74.08,39.21,9,Victim was Ex-Spouse,F,M,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Residence/Home,Stolen Property Offenses,Larceny/Theft Offenses,Person,False,True
4,90,8,-73.92,40.33,8,Victim was Ex-Spouse,F,F,Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Highway/Road/Alley/Street/Sidewalk,Burglary/Breaking & Entering,Extortion/Blackmail,Person,True,False
19,93,10,-74.25,39.39,1,Victim Was Sibling,M,F,Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Highway/Road/Alley/Street/Sidewalk,Wire Fraud,Fraud Offenses,Property,True,False
10,57,12,-74.21,39.3,6,Victim was Ex-Spouse,F,F,Not Hispanic or Latino,Hispanic or Latino,Black or African American,White,Highway/Road/Alley/Street/Sidewalk,False Pretenses/Swindle/Confidence Game,Burglary/Breaking & Entering,Person,False,False
67,1,12,-74.44,41.02,6,Victim was Otherwise Known,F,F,Not Hispanic or Latino,Hispanic or Latino,White,Black or African American,Residence/Home,Stolen Property Offenses,Fraud Offenses,Property,True,True
49,36,5,-74.61,40.61,10,Victim Was Child,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Theft of Motor Vehicle Parts or Accessories,Burglary/Breaking & Entering,Person,False,True
21,71,11,-75.55,39.79,7,Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),M,F,Hispanic or Latino,Hispanic or Latino,White,White,Specialty Store,Statutory Rape,Larceny/Theft Offenses,Property,True,True
63,31,22,-74.73,39.16,9,Victim Was Spouse,M,M,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Residence/Home,Identity Theft,Destruction/Damage/Vandalism of Property,Property,True,True
81,87,3,-74.33,39.65,2,Victim Was Sibling,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Identity Theft,Extortion/Blackmail,Property,True,True
80,26,2,-74.01,40.32,11,Victim was Ex-Spouse,M,M,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Identity Theft,Burglary/Breaking & Entering,Property,True,True
27,40,11,-75.42,39.14,12,Victim Was Other Family Member,F,M,Not Hispanic or Latino,Not Hispanic or Latino,Unknown,Black or African American,Residence/Home,Purse-snatching,Extortion/Blackmail,Property,True,True
86,90,19,-75.18,40.88,9,Victim Was Other Family Member,F,M,Hispanic or Latino,Not Hispanic or Latino,Asian,White,Residence/Home,Destruction/Damage/Vandalism of Property,Burglary/Breaking & Entering,Property,True,True
10,2,7,-73.9,39.01,6,Victim was Otherwise Known,F,M,Not Hispanic or Latino,Hispanic or Latino,Black or African American,Black or African American,Highway/Road/Alley/Street/Sidewalk,Counterfeiting/Forgery,Robbery,Property,True,True
53,72,2,-74.38,39.48,8,Victim Was Neighbor,F,M,Not Hispanic or Latino,Hispanic or Latino,Unknown,Black or African American,Drug Store/Doctor's Office/Hospital,Wire Fraud,Larceny/Theft Offenses,Property,True,True
33,4,16,-74.78,40.48,12,Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),F,F,Hispanic or Latino,Hispanic or Latino,Black or African American,White,Residence/Home,Sexual Assault With An Object,Extortion/Blackmail,Person,True,True
86,50,8,-75.26,39.03,2,Victim was Otherwise Known,F,F,Not Hispanic or Latino,Hispanic or Latino,Black or African American,White,Residence/Home,False Pretenses/Swindle/Confidence Game,Robbery,Property,False,True
55,53,2,-74.64,39.15,4,Victim Was Acquaintance,F,M,Hispanic or Latino,Hispanic or Latino,White,Black or African American,Residence/Home,Impersonation,Homicide Offenses,Property,True,True
58,27,16,-75.44,40.01,6,Relationship Unknown,M,M,Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,False Pretenses/Swindle/Confidence Game,Burglary/Breaking & Entering,Person,True,True
46,5,2,-74.36,39.8,1,Victim Was Child,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Hotel/Motel/Etc.,Sodomy,Assault Offenses,Person,True,False
51,78,21,-75.51,40.74,5,Victim Was Other Family Member,M,M,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Residence/Home,Impersonation,Robbery,Property,False,True
87,99,11,-74.62,39.06,11,Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),F,F,Hispanic or Latino,Hispanic or Latino,White,Black or African American,Residence/Home,Credit Card/Automated Teller Machine Fraud,Extortion/Blackmail,Property,True,True
42,93,12,-75.19,39.95,2,Victim Was Friend,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Credit Card/Automated Teller Machine Fraud,Assault Offenses,Person,True,True
86,39,4,-74.44,39.94,4,Victim Was Boyfriend/Girlfriend,F,M,Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Residence/Home,Intimidation,Kidnapping/Abduction,Person,True,True
87,3,13,-74.17,39.97,1,Victim Was Boyfriend/Girlfriend,F,F,Not Hispanic or Latino,Hispanic or Latino,White,White,Residence/Home,Motor Vehicle Theft,Robbery,Property,True,True
32,49,23,-75.35,40.14,4,Victim was Ex-Spouse,F,M,Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Residence/Home,Intimidation,Bribery,Property,True,True
74,85,12,-74.25,39.38,1,Relationship Unknown,F,M,Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Residence/Home,Rape,Destruction/Damage/Vandalism of Property,Property,False,True
39,81,9,-74.73,41.04,1,Victim Was Parent,F,M,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Residence/Home,Wire Fraud,Homicide Offenses,Property,True,True
62,13,3,-75.1,41.2,3,Relationship Unknown,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Sexual Assault With An Object,Larceny/Theft Offenses,Property,True,False
42,45,0,-75.14,40.13,6,Relationship Unknown,F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Intimidation,Destruction/Damage/Vandalism of Property,Person,True,True
25,19,3,-75.54,40.02,12,Victim Was Child,F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Highway/Road/Alley/Street/Sidewalk,Robbery,Sex Offenses,Person,False,True
67,68,7,-74.04,39.9,1,Victim Was Neighbor,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Highway/Road/Alley/Street/Sidewalk,Counterfeiting/Forgery,Motor Vehicle Theft,Property,True,True
40,31,2,-74.49,39.36,9,Victim Was Parent,F,F,Not Hispanic or Latino,Hispanic or Latino,Black or African American,American Indian or Alaska Native,Cyberspace,Theft From Building,Bribery,Property,True,True
10,82,0,-74.42,39.75,2,Relationship Unknown,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Restaurant,All Other Larceny,Bribery,Person,True,True
16,78,5,-75.17,40.42,3,Victim Was Neighbor,F,F,Hispanic or Latino,Hispanic or Latino,White,Black or African American,Residence/Home,False Pretenses/Swindle/Confidence Game,Fraud Offenses,Property,True,True
59,32,13,-74.93,41.07,2,Victim Was Parent,F,M,Not Hispanic or Latino,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Black or African American,Hotel/Motel/Etc.,Shoplifting,Motor Vehicle Theft,Property,True,False
83,75,20,-74.1,40.64,6,Victim Was Boyfriend/Girlfriend,M,F,Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Parking/Drop Lot/Garage,Credit Card/Automated Teller Machine Fraud,Arson,Property,True,False
43,60,5,-75.26,39.5,6,Victim Was Child,M,F,Not Hispanic or Latino,Not Hispanic or Latino,Asian,White,Residence/Home,Stolen Property Offenses,Robbery,Person,True,True
25,7,2,-75.15,39.77,10,Victim Was Acquaintance,M,M,Not Hispanic or Latino,Hispanic or Latino,Black or African American,American Indian or Alaska Native,Residence/Home,Wire Fraud,Larceny/Theft Offenses,Person,True,True
60,20,3,-75.19,40.1,7,Victim Was Spouse,F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Stolen Property Offenses,Motor Vehicle Theft,Person,True,True
76,96,21,-74.59,39.13,12,Victim Was Parent,F,M,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Identity Theft,Kidnapping/Abduction,Person,True,True
37,86,22,-75.19,40.31,3,Victim was Ex-Spouse,F,M,Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Theft From Motor Vehicle,Larceny/Theft Offenses,Person,True,True
56,3,15,-74.33,39.22,2,Victim was Ex-Spouse,F,M,Not Hispanic or Latino,Hispanic or Latino,White,Black or African American,Residence/Home,Aggravated Assault,Larceny/Theft Offenses,Person,True,True
88,34,9,-74.12,40.8,3,Victim was Ex-Spouse,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Highway/Road/Alley/Street/Sidewalk,Burglary/Breaking & Entering,Homicide Offenses,Person,True,False
62,1,5,-74.98,39.67,1,Victim Was Other Family Member,F,F,Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Impersonation,Destruction/Damage/Vandalism of Property,Person,True,True
25,60,15,-74.97,40.01,6,Victim Was Stranger,M,F,Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Highway/Road/Alley/Street/Sidewalk,Theft of Motor Vehicle Parts or Accessories,Homicide Offenses,Person,True,True
44,86,18,-74.93,39.96,4,Victim Was Neighbor,M,F,Not Hispanic or Latino,Hispanic or Latino,White,Black or African American,Residence/Home,Intimidation,Motor Vehicle Theft,Person,False,True
11,66,19,-74.01,39.32,8,Victim Was Spouse,F,F,Hispanic or Latino,Hispanic or Latino,Black or African American,Black or African American,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Counterfeiting/Forgery,Person,True,True
38,95,12,-74.16,40.23,2,Victim Was Neighbor,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Fondling,Fraud Offenses,Person,False,True
53,94,23,-75.26,39.19,2,Victim Was Stranger,F,F,Hispanic or Latino,Not Hispanic or Latino,White,White,Highway/Road/Alley/Street/Sidewalk,Extortion/Blackmail,Fraud Offenses,Property,False,True
85,13,15,-74.84,40.89,6,Victim Was Sibling,M,F,Not Hispanic or Latino,Hispanic or Latino,Unknown,White,Highway/Road/Alley/Street/Sidewalk,Sexual Assault With An Object,Burglary/Breaking & Entering,Property,True,True
84,83,10,-74.27,39.94,5,Victim was Ex-Spouse,M,M,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Highway/Road/Alley/Street/Sidewalk,Murder and Nonnegligent Manslaughter,Arson,Person,True,True
36,84,20,-75.42,39.99,10,Victim Was Sibling,M,M,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Residence/Home,Purse-snatching,Bribery,Person,True,True
96,9,1,-74.89,41.27,4,Victim Was Spouse,F,F,Not Hispanic or Latino,Hispanic or Latino,Black or African American,Asian,Highway/Road/Alley/Street/Sidewalk,Sodomy,Homicide Offenses,Property,True,False
37,11,13,-74.52,39.48,6,Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Robbery,Sex Offenses,Person,True,True
17,76,9,-74.01,39.88,9,Victim was Ex-Spouse,F,F,Hispanic or Latino,Not Hispanic or Latino,White,Asian,Residence/Home,Shoplifting,Motor Vehicle Theft,Property,True,True
35,96,6,-73.92,39.86,11,Victim Was Friend,M,F,Hispanic or Latino,Hispanic or Latino,American Indian or Alaska Native,Black or African American,Residence/Home,Simple Assault,Stolen Property Offenses,Person,False,True
45,28,6,-73.94,39.23,12,Victim Was Parent,M,F,Hispanic or Latino,Hispanic or Latino,White,White,Residence/Home,Simple Assault,Arson,Person,True,False
23,18,18,-73.96,40.98,5,Victim Was Child,F,F,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle,Human Trafficking,Person,True,True
12,43,7,-75.38,40.68,10,Victim Was Spouse,F,F,Not Hispanic or Latino,Hispanic or Latino,White,White,Residence/Home,False Pretenses/Swindle/Confidence Game,Robbery,Property,True,True
88,69,2,-74.11,40.75,9,Victim Was Acquaintance,F,F,Hispanic or Latino,Hispanic or Latino,White,White,Residence/Home,Impersonation,Homicide Offenses,Person,True,True
72,73,17,-74.86,40.56,5,Victim Was Spouse,F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Impersonation,Homicide Offenses,Property,True,True
13,81,5,-74.34,39.8,8,Victim was Otherwise Known,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Robbery,Larceny/Theft Offenses,Property,True,False
96,87,3,-74.58,39.18,6,Victim Was Other Family Member,M,F,Not Hispanic or Latino,Hispanic or Latino,White,White,Residence/Home,All Other Larceny,Burglary/Breaking & Entering,Person,True,True
29,73,19,-75.39,41.21,9,Victim Was Spouse,F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,Asian,Grocery/Supermarket,Rape,Sex Offenses,Property,True,True
77,53,6,-73.94,40.15,3,Victim was Ex-Spouse,M,F,Not Hispanic or Latino,Hispanic or Latino,White,Asian,Highway/Road/Alley/Street/Sidewalk,Rape,Kidnapping/Abduction,Person,True,True
70,83,17,-74.98,39.25,1,Victim Was Child,F,F,Not Hispanic or Latino,Hispanic or Latino,Black or African American,Black or African American,Cyberspace,All Other Larceny,Robbery,Property,True,True
46,96,18,-74.41,40.83,4,Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),M,M,Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Purse-snatching,Destruction/Damage/Vandalism of Property,Person,False,True
36,23,11,-74.06,40.55,1,Victim Was Sibling,M,F,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Residence/Home,Statutory Rape,Counterfeiting/Forgery,Person,True,False
