data_year,offense_id,incident_id,offense_code,attempt_complete_flag,location_id,num_premises_entered,method_entry_code
2022,194315155,162620898,120,C,25,,
2022,194315156,162620899,35A,C,33,,
2022,194315157,162620899,35B,C,33,,
2022,192279541,160851725,280,C,34,,
2022,194315158,162620900,35A,C,33,,
2022,194315159,162620900,35B,C,33,,
2022,192279542,160851726,100,C,35,,
2022,194315160,162620901,100,C,23,,
2022,194315161,162620902,35A,C,25,,
2022,200562882,168078512,120,C,35,,
2022,200562883,168078512,220,C,35,,F
2022,200562884,168078512,290,C,35,,
2022,200562885,168078512,520,C,35,,
2022,194315162,162620903,290,C,25,,
2022,192796760,161297297,26B,A,17,,
2022,194315163,162620904,35A,C,26,,
2022,192507025,161044518,23H,C,98,,
2022,192441893,160989517,13C,C,35,,
2022,194315164,162620905,13B,C,35,,
2022,194315165,162620906,290,C,35,,
2022,194315166,162620907,100,C,35,,
2022,194315167,162620908,26B,C,14,,
2022,192510517,161047421,23H,C,26,,
2022,194315168,162620909,220,C,11,,F
2022,194315169,162620909,23H,C,11,,
2022,194315170,162620909,290,C,11,,
2022,192796764,161297299,220,C,26,1,F
2022,194315171,162620910,250,C,7,,
2022,194315172,162620911,13B,C,98,,
2022,202033034,169344097,35A,C,33,,
2022,194315173,162620912,13B,C,35,,
2022,194315174,162620913,290,C,14,,
2022,194315175,162620914,220,C,35,,N
2022,194315176,162620915,23H,C,35,,
2022,194315177,162620916,13C,C,15,,
2022,194315178,162620917,13B,C,35,,
2022,194315179,162620918,240,C,98,,
2022,194315180,162620919,23H,C,35,,
2022,194315181,162620920,35A,C,25,,
2022,194315182,162620920,35B,C,25,,
2022,194315183,162620921,23C,C,24,,
2022,194315184,162620922,23C,C,24,,
2022,194315185,162620923,23C,C,24,,
2022,194315186,162620924,23C,C,24,,
2022,194315187,162620925,23C,C,24,,
2022,194315189,162620927,23C,C,24,,
2022,194315190,162620928,23C,C,24,,
2022,194315191,162620929,13B,C,35,,
2022,194315192,162620930,13C,C,15,,
2022,194315193,162620931,13C,C,35,,
2022,194315194,162620932,13C,C,35,,
2022,194315195,162620933,26B,C,7,,
2022,195429528,163592211,23H,A,7,,
2022,195429529,163592211,250,C,7,,
2022,195429530,163592211,280,C,7,,
2022,194315196,162620934,26B,C,35,,
2022,194315197,162620935,13B,C,35,,
2022,194315198,162620936,13B,C,26,,
2022,194315199,162620937,23H,C,14,,
2022,194315200,162620938,13C,C,25,,
2022,194315201,162620938,290,C,25,,
2022,194315202,162620939,23H,C,17,,
2022,195466544,163625006,23C,C,14,,
2022,194315203,162620940,23C,C,14,,
2022,202033035,169344098,35A,C,33,,
2022,202033036,169344098,35B,C,33,,
2022,202033037,169344098,520,C,33,,
2022,194315204,162620941,100,C,23,,
2022,194315205,162620942,290,C,26,,
2022,194315206,162620943,23H,C,26,,
2022,194315207,162620944,13B,C,33,,
2022,194315208,162620945,13C,C,35,,
2022,194742068,162999589,13B,C,35,,
2022,195902920,164009403,11D,C,11,,
2022,202033038,169344099,35A,C,33,,
2022,194315209,162620946,26C,C,11,,
2022,194315210,162620947,13C,C,17,,
2022,196855832,164846192,220,C,35,,F
2022,196855833,164846192,290,C,35,,
2022,195169236,163370223,220,C,35,,F
2022,195169237,163370223,23H,C,35,,
2022,195169238,163370223,290,C,35,,
2022,194315215,162620950,240,C,17,,
2022,194315216,162620951,13C,C,35,,
2022,195623417,163763812,23H,C,98,,
2022,194315218,162620953,23C,C,14,,
2022,194315219,162620954,26B,C,15,,
2022,194315220,162620955,26C,C,44,,
2022,194315221,162620956,13B,C,35,,
2022,199528172,167178300,13B,C,35,,
2022,194315222,162620957,26E,C,35,,
2022,199528173,167178301,13B,C,35,,
2022,194315223,162620958,26B,A,98,,
2022,194315224,162620959,13C,C,15,,
2022,194315225,162620959,210,C,15,,
2022,194315226,162620960,23C,C,14,,
2022,194315227,162620961,290,C,26,,
2022,194720238,162980760,35A,C,33,,
2022,194720239,162980760,35B,C,33,,
2022,194315228,162620962,23F,C,25,,
2022,202033039,169344100,35A,C,25,,
2022,202033040,169344100,35B,C,25,,
2022,203274599,170429598,26A,A,35,,
2022,194764287,163019002,290,C,35,,
2022,194315229,162620963,13A,C,35,,
2022,194315230,162620963,220,C,35,,F
2022,194315231,162620963,290,C,35,,
2022,194315232,162620963,520,C,35,,
2022,194744774,163001987,23D,C,41,,
2022,194720240,162980761,220,C,98,,N
2022,194720241,162980761,23H,C,98,,
2022,195429531,163592212,220,C,25,,N
2022,195429532,163592212,23H,C,25,,
2022,194764288,163019003,23C,C,11,,
2022,195284090,163469080,13C,C,14,,
2022,194744775,163001988,13C,C,35,,
2022,195466545,163625007,23C,C,14,,
2022,195153997,163357010,23H,C,98,,
2022,195284091,163469081,23H,C,24,,
2022,198680838,166436593,11D,C,35,,
2022,195346882,163521032,23C,C,14,,
2022,195115956,163323223,13C,C,35,,
2022,196480722,164523819,13C,C,38,,
2022,195115957,163323224,23G,C,35,,
2022,195375207,163545734,13A,C,2,,
2022,195375208,163545734,13B,C,2,,
2022,195778069,163900865,13A,C,24,,
2022,195778070,163900865,13B,C,24,,
2022,195466546,163625008,280,C,33,,
2022,195466547,163625008,35B,C,33,,
2022,195346884,163521034,13B,C,35,,
2022,195169239,163370224,23H,C,35,,
2022,199528174,167178302,100,C,33,,
2022,199172084,166872047,23C,C,14,,
2022,202033041,169344101,13C,C,98,,
2022,202033042,169344101,370,C,98,,
2022,195873266,163983419,23H,C,26,,
2022,195429533,163592213,23C,C,14,,
2022,195466548,163625009,13B,C,26,,
2022,195778071,163900866,13B,C,35,,
2022,195375209,163545735,23C,C,17,,
2022,195623419,163763814,13C,C,26,,
2022,199439473,167101599,26F,A,98,,
2022,202474407,169731359,23H,C,11,,
2022,178053261,148468586,720,C,35,,
2022,178053262,148468587,26F,C,15,,
2022,178053263,148468588,13C,C,19,,
2022,178053264,148468589,13B,C,8,,
2022,178780438,149106432,13A,C,32,,
2022,178780439,149106432,520,C,32,,
2022,178780440,149106433,35B,C,25,,
2022,178780441,149106434,26E,C,15,,
2022,178780442,149106435,23G,C,98,,
2022,178780443,149106436,23H,C,41,,
2022,178780444,149106437,23C,C,44,,
2022,178780445,149106438,13B,C,35,,
2022,178780446,149106439,23C,C,44,,
2022,178780447,149106440,23C,C,44,,
2022,178780448,149106441,13B,C,25,,
2022,178780449,149106442,13B,C,35,,
2022,178780450,149106443,220,C,35,,F
2022,178780451,149106444,23H,C,11,,
2022,178780452,149106445,23C,C,44,,
2022,178780453,149106446,23C,C,24,,
2022,178780454,149106447,13B,C,23,,
2022,178780456,149106449,23C,C,24,,
2022,178780457,149106450,13B,C,25,,
2022,178780458,149106451,13B,C,35,,
2022,178780459,149106452,23H,C,35,,
2022,178780460,149106453,23C,C,35,,
2022,178780461,149106454,23C,C,44,,
2022,178780462,149106455,35A,C,32,,
2022,178780463,149106455,35B,C,32,,
2022,178780465,149106457,23H,C,44,,
2022,178830971,149149675,250,C,19,,
2022,178830972,149149675,26A,C,19,,
2022,178830974,149149677,26A,C,11,,
2022,181419581,151392212,26A,C,11,,
2022,181419582,151392213,26A,C,11,,
2022,178830979,149149682,23D,C,7,,
2022,178858265,149173271,23H,C,41,,
2022,178858267,149173273,23D,C,8,,
2022,178858269,149173275,26F,C,15,,
2022,178858271,149173277,23C,C,44,,
2022,178858273,149173279,23F,C,35,,
2022,178858274,149173280,26F,C,15,,
2022,178858277,149173283,13B,C,35,,
2022,178858279,149173285,13B,C,35,,
2022,178858281,149173287,23C,C,44,,
2022,178858283,149173289,23C,C,44,,
2022,178858286,149173292,23H,C,98,,
2022,178858287,149173293,13B,C,35,,
2022,178858289,149173295,23C,C,19,,
2022,179019305,149314497,13A,C,25,,
2022,179019306,149314497,23C,C,44,,
2022,179019307,149314497,35A,C,25,,
2022,179019308,149314497,35B,C,25,,
2022,179019309,149314497,250,C,25,,
2022,179019310,149314497,280,C,25,,
2022,178858291,149173297,11A,C,26,,
2022,178858292,149173298,13B,C,8,,
2022,178858294,149173300,23F,C,35,,
2022,178858297,149173302,23D,C,26,,
2022,178858299,149173304,23C,C,44,,
2022,178858301,149173306,26F,C,15,,
2022,181419583,151392214,23G,C,26,,
2022,178858306,149173311,23C,C,44,,
2022,178858308,149173313,13C,C,35,,
2022,178858309,149173314,13B,C,35,,
2022,178957123,149259950,220,C,35,,F
2022,178957124,149259951,23H,C,41,,
2022,178957125,149259952,250,C,98,,
2022,178957126,149259952,26A,C,7,,
2022,178957127,149259953,23D,C,35,,
2022,178957128,149259954,220,A,35,,F
2022,178957129,149259955,23F,C,35,,
2022,178957130,149259956,26B,C,7,,
2022,178957131,149259956,26A,C,7,,
2022,178957132,149259957,23C,C,44,,
2022,179019311,149314498,23G,C,35,,
2022,179019312,149314499,220,A,41,,F
2022,183382350,153097612,26A,C,11,,
2022,179101278,149386839,23C,C,44,,
2022,179101279,149386840,23H,C,35,,
2022,179185869,149458196,13B,C,35,,
2022,179204407,149473612,23D,C,35,,
2022,179204408,149473613,23C,C,44,,
2022,181419584,151392215,13B,C,35,,
2022,179625729,149836786,23H,C,35,,
2022,179625730,149836787,23F,C,35,,
2022,179625731,149836788,11B,C,35,,
2022,179625732,149836789,280,C,26,,
2022,179640624,149849543,23F,C,35,,
2022,179993583,150151192,23G,A,11,,
2022,179993584,150151192,290,C,11,,
2022,179640633,149849548,26F,C,35,,
2022,181419585,151392216,23F,C,35,,
2022,179640640,149849555,240,C,35,,
2022,179993588,150151196,13A,C,8,,
2022,179993593,150151200,26E,C,15,,
2022,179993597,150151204,290,C,35,,
2022,179993603,150151208,290,C,35,,
2022,180074767,150221311,35A,C,8,,
2022,180074772,150221314,35A,C,26,,
2022,180074774,150221316,13B,C,35,,
2022,181408287,151382231,23G,C,11,,
2022,181408288,151382232,26A,C,19,,
2022,181528045,151485564,23H,C,8,,
2022,181528046,151485565,13A,C,8,,
2022,181419588,151392219,11A,C,8,,
2022,181419589,151392220,13B,C,25,,
2022,181419591,151392222,13B,C,40,,
2022,181419592,151392223,35A,C,25,,
2022,181419593,151392223,35B,C,25,,
2022,181419594,151392224,23F,C,35,,
2022,181419595,151392225,23F,C,35,,
2022,181652957,151593212,280,C,23,,
2022,181652958,151593212,23H,C,23,,
2022,181419598,151392227,220,C,41,,F
2022,181419599,151392228,26A,C,15,,
2022,181419600,151392229,23D,C,44,,
2022,181419601,151392230,35A,C,26,,
2022,181419602,151392231,23H,C,37,,
2022,181419603,151392232,23F,C,26,,
2022,182643051,152459955,520,C,11,,
2022,181419604,151392233,13B,C,35,,
2022,181419605,151392234,26D,C,15,,
2022,181419606,151392234,26F,C,15,,
2022,181421843,151394233,290,C,10,,
2022,181421844,151394234,290,C,40,,
2022,181421845,151394235,26A,C,15,,
2022,181421846,151394236,290,C,41,,
2022,181528047,151485566,13B,C,8,,
2022,181652959,151593213,280,C,35,,
2022,181652960,151593214,13B,C,26,,
2022,181652961,151593215,13A,C,26,,
2022,181660090,151599608,220,C,32,,N
2022,181660092,151599610,520,C,25,,
2022,181660093,151599610,35B,C,25,,
2022,181757674,151687295,13B,C,26,,
2022,181757675,151687296,35A,C,44,,
2022,181757676,151687296,35B,C,44,,
2022,181757677,151687297,23C,C,44,,
2022,181757678,151687298,26B,C,44,,
2022,181757679,151687299,11D,C,35,,
2022,181757681,151687301,23H,C,35,,
2022,182643052,152459956,23C,C,44,,
2022,182643053,152459957,13B,C,8,,
2022,182643054,152459958,23F,C,35,,
2022,182643055,152459959,13B,C,35,,
2022,182643056,152459960,23D,C,26,,
2022,182643057,152459961,23F,A,35,,
2022,182643058,152459962,23C,C,44,,
2022,182643059,152459963,13B,C,37,,
2022,182643060,152459964,23H,C,24,,
2022,182643061,152459965,13B,C,8,,
2022,182643062,152459966,23H,C,35,,
2022,182643063,152459967,23F,C,35,,
2022,190859664,159617076,23G,C,41,,
2022,182643065,152459969,23C,C,44,,
2022,182643066,152459970,13C,C,35,,
2022,182643067,152459971,13B,C,35,,
2022,182643068,152459972,23H,C,21,,
2022,182643070,152459974,26F,C,15,,
2022,182643071,152459975,120,C,8,,
2022,182643072,152459976,13C,C,26,,
2022,182643073,152459977,35A,C,25,,
2022,182643074,152459977,35B,C,25,,
2022,182643075,152459978,290,C,32,,
2022,182643076,152459979,26C,C,26,,
2022,182643077,152459980,290,C,32,,
2022,182643079,152459982,290,C,32,,
2022,182643080,152459983,23H,C,24,,
2022,182643081,152459984,23H,C,26,,
2022,182643082,152459985,290,C,32,,
2022,182643083,152459986,23F,C,35,,
2022,182643084,152459987,280,C,25,,
2022,182643085,152459988,290,C,32,,
2022,182643086,152459989,23F,C,35,,
2022,182643087,152459990,23F,C,35,,
2022,182643088,152459991,23F,A,35,,
2022,182643089,152459992,23F,C,36,,
2022,182643090,152459993,23F,C,35,,
2022,182643091,152459994,23F,C,35,,
2022,182643092,152459995,23F,C,35,,
2022,182643093,152459996,26A,C,15,,
2022,182643095,152459998,23C,C,19,,
2022,182643096,152459999,26B,C,44,,
2022,182643097,152460000,26F,C,15,,
2022,183044493,152807248,35A,C,25,,
2022,183044494,152807248,35B,C,25,,
2022,182643098,152460001,23F,C,35,,
2022,182643099,152460002,13B,C,35,,
2022,183044495,152807249,26B,C,15,,
2022,183044496,152807249,26G,C,15,,
2022,183044497,152807249,26F,C,15,,
2022,182643100,152460003,23D,C,37,,
2022,182643101,152460004,520,C,35,,
2022,182643102,152460004,13C,C,35,,
2022,182643103,152460005,23F,C,35,,
2022,182643104,152460006,23F,C,25,,
2022,182643105,152460007,23C,C,44,,
2022,183044498,152807250,13A,C,35,,
2022,183044499,152807251,23G,C,41,,
2022,183044500,152807252,280,C,2,,
2022,183117879,152870904,280,C,25,,
2022,183117880,152870905,26F,A,15,,
2022,183117881,152870906,13A,C,35,,
2022,183117882,152870906,520,C,35,,
2022,183409989,153121685,23F,C,25,,
2022,183152854,152902527,23F,C,25,,
2022,183152855,152902528,220,C,35,,N
2022,183409990,153121686,13B,C,26,,
2022,183409991,153121687,120,C,41,,
2022,183409992,153121688,23C,C,44,,
2022,190863862,159620802,280,C,26,,
2022,190863863,159620802,520,C,26,,
2022,183409995,153121690,23F,A,35,,
2022,183450348,153156232,280,C,35,,
2022,183842774,153506635,23D,C,35,,
2022,183842775,153506636,23C,C,44,,
2022,190863864,159620803,13B,C,24,,
2022,183842777,153506638,23C,C,44,,
2022,183842778,153506639,13B,C,26,,
2022,183842779,153506640,23C,C,44,,
2022,183842780,153506641,26E,C,26,,
2022,183842781,153506642,23C,C,44,,
2022,183953808,153602343,23F,C,35,,
2022,183842783,153506644,23C,C,44,,
2022,183842784,153506645,23C,C,44,,
2022,183892721,153548223,23G,C,25,,
2022,183892722,153548223,290,C,25,,
2022,183892723,153548224,23G,C,25,,
2022,183892724,153548224,290,C,25,,
2022,183892725,153548225,23G,C,35,,
2022,183892726,153548225,290,C,35,,
2022,183953809,153602344,26E,A,15,,
2022,184289001,153894162,220,A,44,,F
2022,183953811,153602346,11A,C,35,,
2022,183953812,153602347,23C,C,24,,
2022,183953813,153602348,35B,C,14,,
2022,183953814,153602348,35A,C,14,,
2022,183953815,153602348,250,C,14,,
2022,183953816,153602349,26G,C,15,,
2022,183953817,153602349,26F,C,15,,
2022,183953818,153602350,23H,C,43,,
2022,183953819,153602351,23G,C,35,,
2022,183953820,153602352,280,C,2,,
2022,183988332,153633030,23C,C,41,,
2022,183988333,153633031,250,C,7,,
2022,183988334,153633031,26C,C,7,,
2022,183988335,153633031,23H,C,7,,
2022,183990299,153634778,13B,C,26,,
2022,194315233,162620964,35B,C,14,,
2022,184289002,153894163,23C,C,30,,
2022,184289003,153894164,35A,C,37,,
2022,191265364,159967926,26A,C,35,,
2022,184304325,153907755,250,C,37,,
2022,184304326,153907756,13B,C,35,,
2022,184304327,153907757,290,C,37,,
2022,184337067,153936616,290,C,43,,
2022,190863865,159620804,35A,C,33,,
2022,190863866,159620804,35B,C,33,,
2022,191009625,159747678,290,C,19,,
2022,191009626,159747679,290,C,26,,
2022,191009627,159747680,23F,A,35,,
2022,191009629,159747682,11D,C,35,,
2022,191009630,159747683,13B,C,26,,
2022,191009631,159747684,23D,C,14,,
2022,191009632,159747685,23F,C,11,,
2022,191009633,159747686,23C,C,24,,
2022,191009634,159747687,23H,C,7,,
2022,191053767,159787590,35A,C,37,,
2022,191053768,159787590,35B,C,37,,
2022,191053771,159787592,520,C,25,,
2022,191053772,159787592,280,C,25,,
2022,191265365,159967927,13C,C,25,,
2022,191265366,159967928,13B,C,24,,
2022,191265367,159967929,13C,C,35,,
2022,191265368,159967930,23F,A,35,,
2022,191265369,159967931,11A,C,26,,
2022,191265370,159967932,23F,A,35,,
2022,191265371,159967933,23D,C,14,,
2022,191265372,159967934,13B,C,25,,
2022,191265373,159967935,13B,C,25,,
2022,191265374,159967936,23C,C,24,,
2022,191265375,159967937,23C,C,24,,
2022,191265376,159967938,23C,C,24,,
2022,191265377,159967939,23F,C,35,,
2022,191265378,159967939,26B,C,7,,
2022,191351715,160044152,280,C,26,,
2022,191351717,160044154,23F,C,35,,
2022,191351720,160044157,520,C,24,,
2022,191649409,160309172,26A,C,44,,
2022,191649410,160309173,240,C,35,,
2022,191649411,160309174,23F,C,26,,
2022,191649412,160309175,26B,C,26,,
2022,191649413,160309175,280,C,26,,
2022,191649414,160309176,23F,C,35,,
2022,191649416,160309178,23C,C,24,,
2022,191649417,160309179,23C,C,19,,
2022,191649419,160309181,23F,A,25,,
2022,191649420,160309182,23H,C,41,,
2022,191649422,160309184,23F,A,35,,
2022,191649424,160309186,23F,C,26,,
2022,191649425,160309187,13A,C,35,,
2022,191649427,160309189,23H,C,41,,
2022,191649429,160309191,23F,C,25,,
2022,191649431,160309193,23C,C,44,,
2022,191649433,160309195,23C,C,44,,
2022,191649434,160309196,13C,C,35,,
2022,191649437,160309198,26F,C,15,,
2022,191649438,160309198,26B,C,35,,
2022,191649440,160309200,26F,C,15,,
2022,191649441,160309200,26B,C,35,,
2022,191649442,160309201,13B,C,35,,
2022,191654926,160313952,13B,C,44,,
2022,191654927,160313952,23C,C,44,,
2022,191654928,160313952,290,C,44,,
2022,191654929,160313953,35A,C,25,,
2022,191654930,160313954,13C,C,37,,
2022,191791095,160431591,35A,C,26,,
2022,191791096,160431591,35B,C,26,,
2022,191791097,160431592,23F,A,35,,
2022,191791098,160431593,23C,C,44,,
2022,191791099,160431594,720,C,35,,
2022,191791100,160431595,220,C,35,,N
2022,191791101,160431596,220,C,35,,N
2022,191791102,160431596,11D,C,35,,
2022,191793891,160434015,100,C,35,,
2022,191793892,160434015,23H,C,35,,
2022,191824147,160460306,23C,C,43,,
2022,191824148,160460307,13C,C,35,,
2022,191824149,160460308,520,C,26,,
2022,191824150,160460308,13B,C,26,,
2022,191824151,160460309,23H,C,35,,
2022,191824152,160460310,13B,C,35,,
2022,191824153,160460311,23C,C,44,,
2022,191824154,160460312,23C,C,44,,
2022,191824155,160460313,23C,C,44,,
2022,191824156,160460314,250,C,37,,
2022,191824157,160460314,26A,C,37,,
2022,191824158,160460315,23F,C,35,,
2022,191824159,160460316,35A,C,25,,
2022,191824160,160460316,35B,C,25,,
2022,191824161,160460317,23H,C,35,,
2022,191824162,160460318,13B,C,25,,
2022,191824163,160460319,220,C,44,,F
2022,191824164,160460319,290,C,44,,
2022,191824165,160460320,26F,C,15,,
2022,191824166,160460320,26B,C,15,,
2022,191824167,160460321,13B,C,35,,
2022,191824168,160460322,220,A,19,,F
2022,191824169,160460323,23C,C,44,,
2022,191824170,160460324,23G,C,11,,
2022,191824171,160460325,23C,C,24,,
